time,A:gene off,A:gene on,A:mRNA,A:protein
0.0201313,3,1,6,101
0.572587,3,1,6,102
0.343685,4,0,6,102
0.258408,4,0,6,103
0.0877767,4,0,5,103
0.305892,4,0,5,104
0.289828,3,1,5,104
0.0173369,3,1,5,105
0.231863,3,1,6,105
0.105923,3,1,5,105
0.158469,3,1,5,104
0.183689,3,1,6,104
0.141717,3,1,7,104
0.0303261,3,1,6,104
0.217411,3,1,6,105
0.410294,3,1,6,106
0.0197597,3,1,6,107
0.0926103,4,0,6,107
0.219482,4,0,5,107
0.741269,4,0,4,107
0.404206,4,0,4,108
0.0251444,4,0,3,108
0.760215,4,0,3,109
0.163519,4,0,3,110
0.11192,4,0,2,110
0.460017,4,0,2,111
1.34251,4,0,1,111
0.589842,4,0,1,112
0.89373,4,0,0,112
4.41344,4,0,0,111
0.268713,4,0,0,110
0.466351,4,0,0,109
7.1635,4,0,0,108
1.55099,4,0,0,107
3.05222,4,0,0,106
6.62948,4,0,0,105
3.5192,3,1,0,105
0.287539,4,0,0,105
2.13967,4,0,0,104
0.150757,4,0,0,103
2.6165,4,0,0,102
1.41929,4,0,0,101
0.542112,4,0,0,100
0.523304,4,0,0,99
1.13662,4,0,0,98
3.477,4,0,0,97
2.22204,4,0,0,96
0.312431,4,0,0,95
0.302926,4,0,0,94
2.05127,4,0,0,93
9.71943,3,1,0,93
0.112761,3,1,1,93
0.148123,3,1,2,93
0.0139847,3,1,3,93
0.607968,3,1,3,94
0.127109,3,1,4,94
0.27089,3,1,3,94
0.44246,4,0,3,94
1.49324,4,0,3,95
0.113225,4,0,2,95
0.534582,4,0,2,96
1.17377,4,0,2,97
2.31273,4,0,1,97
0.709623,4,0,1,98
2.94222,4,0,1,97
0.244579,4,0,1,98
0.415014,4,0,1,99
0.0948534,4,0,1,98
1.92829,4,0,1,97
0.423137,4,0,0,97
9.98316,4,0,0,96
0.203604,4,0,0,95
4.85355,4,0,0,94
4.73159,3,1,0,94
0.114761,3,1,0,93
